station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
St Marys Station - Werrington Station,T1,Outbound,0 days 00:03:00,1671.03,180,33.4206
Werrington Station - Kingswood Station,T1,Outbound,0 days 00:03:00,3522.94,180,70.4588
Kingswood Station - Penrith Station,T1,Outbound,0 days 00:04:00,2406.37,240,36.09555
Penrith Station - Kingswood Station,T1,Inbound,0 days 00:03:00,2408.61,180,48.1722
Kingswood Station - Werrington Station,T1,Inbound,0 days 00:04:00,3521.66,240,52.8249
Werrington Station - St Marys Station,T1,Inbound,0 days 00:02:00,1671.56,120,50.1468
St Marys Station - Mount Druitt Station,T1,Inbound,0 days 00:04:00,4172.32,240,62.5848
Mount Druitt Station - Blacktown Station,T1,Inbound,0 days 00:07:00,8370.01,420,71.74294286
Blacktown Station - Seven Hills Station,T1,Inbound,0 days 00:03:00,2807.51,180,56.1502
Seven Hills Station - Parramatta Station,T1,Inbound,0 days 00:08:00,8858.19,480,66.436425
Parramatta Station - Strathfield Station,T1,Inbound,0 days 00:12:00,11399.88,720,56.9994
Strathfield Station - Redfern Station,T1,Inbound,0 days 00:11:00,10580.22,660,57.71029091
Wynyard Station - Milsons Point Station,T1,Outbound,0 days 00:04:00,2402.94,240,36.0441
Milsons Point Station - North Sydney Station,T1,Outbound,0 days 00:03:00,718.35,180,14.367
North Sydney Station - Waverton Station,T1,Outbound,0 days 00:02:00,1005.96,120,30.1788
Waverton Station - Wollstonecraft Station,T1,Outbound,0 days 00:02:00,1000.8,120,30.024
Wollstonecraft Station - St Leonards Station,T1,Outbound,0 days 00:03:00,1306.45,180,26.129
St Leonards Station - Artarmon Station,T1,Outbound,0 days 00:03:00,1888.01,180,37.7602
Artarmon Station - Chatswood Station,T1,Outbound,0 days 00:03:00,1343.45,180,26.869
Chatswood Station - Roseville Station,T1,Outbound,0 days 00:03:00,1528.48,180,30.5696
Roseville Station - Lindfield Station,T1,Outbound,0 days 00:02:00,1354.34,120,40.6302
Strathfield Station - Rhodes Station,T9,Outbound,0 days 00:07:00,4704.27,420,40.32231429
Strathfield Station - Parramatta Station,T1,Outbound,0 days 00:13:00,11386.55,780,52.55330769
Hornsby Station - Normanhurst Station,T9,Inbound,0 days 00:02:00,2100.13,120,63.0039
Normanhurst Station - Thornleigh Station,T9,Inbound,0 days 00:03:00,2273.56,180,45.4712
Thornleigh Station - Pennant Hills Station,T9,Inbound,0 days 00:02:00,841.97,120,25.2591
Pennant Hills Station - Beecroft Station,T9,Inbound,0 days 00:03:00,1621.44,180,32.4288
Beecroft Station - Cheltenham Station,T9,Inbound,0 days 00:02:00,1555.34,120,46.6602
Cheltenham Station - Epping Station,T9,Inbound,0 days 00:04:00,2062.43,240,30.93645
Epping Station - Eastwood Station,T9,Inbound,0 days 00:03:00,1954.8,180,39.096
Eastwood Station - Denistone Station,T9,Inbound,0 days 00:03:00,1188.88,180,23.7776
Denistone Station - West Ryde Station,T9,Inbound,0 days 00:02:00,1017.02,120,30.5106
West Ryde Station - Meadowbank Station,T9,Inbound,0 days 00:02:00,977.72,120,29.3316
Meadowbank Station - Rhodes Station,T9,Inbound,0 days 00:02:00,1680.67,120,50.4201
Rhodes Station - Concord West Station,T9,Inbound,0 days 00:03:00,2007.87,180,40.1574
Concord West Station - North Strathfield Station,T9,Inbound,0 days 00:02:00,1176.67,120,35.3001
North Strathfield Station - Strathfield Station,T9,Inbound,0 days 00:05:00,1510.88,300,18.13056
Burwood Station - Redfern Station,T9,Inbound,0 days 00:10:00,9412.64,600,56.47584
Lindfield Station - Killara Station,T1,Outbound,0 days 00:02:00,1289.39,120,38.6817
